"operator","part","trial","value"
"A","p1","t1",106.630780720058
"A","p1","t2",107.801385321343
"A","p1","t3",106.534037696372
"A","p2","t1",114.904682514279
"A","p2","t2",112.96008303321
"A","p2","t3",113.27791058387
"A","p3","t1",116.161893802259
"A","p3","t2",115.868129133667
"A","p3","t3",116.540788912189
"A","p4","t1",102.910000256236
"A","p4","t2",102.438110722316
"A","p4","t3",103.002574200726
"A","p5","t1",95.7701418455278
"A","p5","t2",95.7437373232458
"A","p5","t3",93.6672129763817
"A","p6","t1",82.228851052372
"A","p6","t2",81.1037785267146
"A","p6","t3",81.8632707578511
"A","p7","t1",87.027420745527
"A","p7","t2",86.4799065861802
"A","p7","t3",86.3637642826851
"A","p8","t1",78.0950643474166
"A","p8","t2",78.0509761630326
"A","p8","t3",76.6534450372212
"A","p9","t1",79.2702424282415
"A","p9","t2",81.0129503525695
"A","p9","t3",79.5398127516054
"B","p1","t1",107.994305278619
"B","p1","t2",107.596679957666
"B","p1","t3",107.335293518179
"B","p2","t1",114.743830281588
"B","p2","t2",114.789117820937
"B","p2","t3",115.126939766276
"B","p3","t1",117.587533539404
"B","p3","t2",117.248212417002
"B","p3","t3",117.012762348164
"B","p4","t1",102.351329698717
"B","p4","t2",103.984216746158
"B","p4","t3",103.712436802768
"B","p5","t1",96.2548734215735
"B","p5","t2",95.4316054236997
"B","p5","t3",96.0434198466845
"B","p6","t1",82.9574309593915
"B","p6","t2",82.0602891984125
"B","p6","t3",82.6984257935463
"B","p7","t1",88.5410356733178
"B","p7","t2",87.1735911442193
"B","p7","t3",87.7318119544258
"B","p8","t1",79.0484296956486
"B","p8","t2",78.5764527836754
"B","p8","t3",79.095209698117
"B","p9","t1",80.9867712895275
"B","p9","t2",80.257365686641
"B","p9","t3",80.7714502881569
"C","p1","t1",105.938332630642
"C","p1","t2",106.629350121496
"C","p1","t3",105.182091214823
"C","p2","t1",113.100803813325
"C","p2","t2",113.246218720207
"C","p2","t3",113.48600873668
"C","p3","t1",116.364576490509
"C","p3","t2",115.22500142684
"C","p3","t3",115.304256238424
"C","p4","t1",101.683570410061
"C","p4","t2",101.019733233108
"C","p4","t3",104.027706744559
"C","p5","t1",94.2654899519671
"C","p5","t2",93.8300734962375
"C","p5","t3",94.0198955030042
"C","p6","t1",80.8382359639245
"C","p6","t2",81.1170752396271
"C","p6","t3",81.0221530573496
"C","p7","t1",85.6182874634246
"C","p7","t2",85.8580507332437
"C","p7","t3",85.5260154755149
"C","p8","t1",76.4517751534515
"C","p8","t2",77.7407320183324
"C","p8","t3",76.7104464395388
"C","p9","t1",80.5525300474112
"C","p9","t2",79.3159623787005
"C","p9","t3",80.0074060329171
